,Depth,time,DTCO,Vp,Vs,RHOB,Ip,PHIT,Vp_bk,Vs_bk,rhob_bk,Ip_ups_Bks,Vp_MA,Vs_MA,RHOB_MA,Ip_ups MA,PHIT_MA,Rc,Rc_bks,Rc_MA
44,3284.3,3304,95.9361,3177.1147670168,1555.7306830107,2.1828,6932.6533580485,0.2422,3405.40449651555,1734.530550333,2.23482454289733,7610.48154730587,3468.99783532626,1795.47691297299,2.23482454289733,7796.20728316249,0.216243670886076,-0.000671722803156,0.000523093759003,0.000760243890375
45,3290.9,3308,92.825,3283.5981685968,1749.4438283892,2.2095,7292.8402259064,0.2368,3453.64855449805,1787.48360391854,2.25413713080169,7784.99744343364,3530.44323431946,1864.7184404474,2.25413713080169,8009.26697276339,0.210672995780591,0.001249962260384,0.000145686310411,0.000134922487389
46,3298.7,3312,69.30295,4398.08331020275,2428.2421622606,2.4713,10891.3616892679,0.11365,3498.98806067699,1841.94622008868,2.26896747538678,7939.09052396789,3574.26283631725,1917.40688853242,2.26896747538678,8160.70937986843,0.206556258790436,0.000369614096743,0.000486817586335,0.000465242229979
47,3301.7,3316,87.18165,3496.1494231915,1915.1908081406,2.24825,7803.7273537863,0.22125,3598.62135816416,1961.4318671557,2.30255520393812,8286.40366000092,3665.30519400273,2015.91265368297,2.30255520393812,8485.27086654394,0.193008263009845,-0.001073010501636,0.000361361248583,0.000363662171893
48,3308.6,3320,85.5841,3561.4092892153,1967.47665660045,2.3121,8227.5420628582,0.2013,3735.78500337908,2070.39816089716,2.36596536568214,8838.18502369982,3803.02380330625,2114.24590740385,2.36596536568214,9041.01600811385,0.167778481012658,0.000771717549689,1.40959027686242E-05,-1.27134840382903E-06
49,3315.9,3324,76.89075,3964.4822266753,2136.19632431495,2.42015,9422.03432249675,0.1486,3597.14804071394,1975.85648864142,2.36511409985935,8504.47108056786,3664.77801244916,2034.23962805033,2.36511409985935,8706.04474667813,0.173727672292546,0.000649389813502,-0.000245725287734,-0.00016819243314
50,3324,3328,76.3304,3993.1665496316,2275.2941720968,2.457,9945.1886637445,0.1327,3529.41338092193,1871.77894009429,2.36691385372715,8362.12934607942,3619.27075355702,1970.03751582056,2.36691385372715,8611.97373884173,0.175932489451477,-0.000696428129216,5.39237245217755E-05,4.8172069205813E-05
51,3330.6,3332,97.50675,3125.9508973989,1523.4984483175,2.2829,7224.7600816149,0.22215,3563.21921072906,1892.7487677949,2.3841835443038,8497.18512385261,3670.72068356668,2008.20455439076,2.3841835443038,8805.78886987722,0.167850738396625,-0.000484195766043,7.91600822039224E-05,8.92458719612416E-05
52,3337,3336,86.76635,3512.8826934936,1796.8988152824,2.34965,8275.46693410795,0.1975,3449.77262687659,1827.31832648695,2.35487886779184,8123.79695712099,3525.03206943055,1918.2024659605,2.35487886779184,8345.00427790552,0.180348277074543,0.001044325731406,-0.000384881425938,-0.00047048542435
53,3344.9,3340,81.6705,3732.20848871785,2124.7296934302,2.38045,8890.90283667535,0.167,3450.841187497,1811.02815339181,2.32982454289733,8032.02179681375,3513.72971049824,1884.66987422574,2.32982454289733,8219.11804284587,0.183683368495077,-0.002824866979064,0.000128673394358,0.000110302525784
54,3351.7,3344,90.7447,3358.8738515858,1797.2111386995,2.2691,7592.1514834861,0.1975,3536.35024332674,1885.3642635497,2.3370305907173,8262.33449080577,3593.09653352336,1951.43426641001,2.3370305907173,8438.0934896404,0.174928270042194,0.000288559030593,-0.000138880367104,-0.000117166238609
55,3358.4,3348,93.5156,3259.36894122715,1724.0390479437,2.3027,7581.33410832665,0.185,3434.28574029372,1806.73605439537,2.3002814697609,7899.82413249447,3457.39982842235,1840.29458051634,2.3002814697609,7977.0519717274,0.189945323488045,0.001117197638176,-0.000348566890191,-0.00039406858695
56,3362.4,3352,83.6489,3643.8016766978,1900.9382155982,2.3163,8294.21650789475,0.19025,3334.52347285441,1687.97764991601,2.28944198312236,7635.12545454607,3356.32427994299,1723.2275235007,2.28944198312236,7703.09436617414,0.197394163150492,-0.001887658163543,-0.000208921858221,-0.000180479477081
57,3369.2,3356,93.7829,3250.0594458052,1639.8813991287,2.254,7404.1512549816,0.2135,3250.29064599401,1577.58634339692,2.29653867791842,7466.90732963567,3279.49012212357,1627.24049724311,2.29653867791842,7551.73906383102,0.203214838255978,-9.78894659164868E-05,-0.000133335642165,-0.000112926242432
58,3375.5,3360,100.0587,3046.2118736302,1380.3397592195,2.3093,7095.9547847354,0.22,3163.79131572693,1487.54449000528,2.2956888185654,7251.37632232002,3174.19092935587,1510.794016464,2.2956888185654,7284.16880020777,0.214137834036568,-0.000847221714735,-0.000323421625545,-0.000369545429702
59,3381.7,3364,100.8463,3022.42124897,1365.9273719208,2.3199,6929.075457924,0.2172,3091.35532386702,1404.24130085696,2.300379395218,7111.38473168039,3091.11906838408,1410.91935792364,2.300379395218,7119.29029660952,0.217731715893108,0.000804939840529,-5.46535011330315E-05,-6.11311286328048E-05
60,3387.7,3368,100.3155,3038.413804447,1368.6008481015,2.3241,7051.0162543303,0.2208,3074.47365287643,1391.11686088752,2.31032911392405,7099.49326320441,3073.73074176682,1393.50453181917,2.31032911392405,7110.2188561833,0.217307665260197,-0.000175565353956,-2.38809043965835E-05,-2.19001457731502E-05
61,3393.8,3372,97.63715,3121.7771115803,1326.83500880425,2.32,7139.60475615195,0.22225,3067.30377097464,1397.73129595449,2.32237306610408,7119.59872407086,3068.57873463262,1399.73523299894,2.32237306610408,7134.56187110974,0.215300281293952,-0.001132018404499,2.8302684545752E-05,2.74559451425922E-05
62,3400.1,3376,99.52525,3062.5394592938,1485.91592910825,2.3246,7035.6228453501,0.21645,3054.0239637557,1398.920389905,2.33420780590717,7129.13785109097,3053.63584425558,1400.58467387435,2.33420780590717,7138.66489249054,0.213360407876231,0.000641930183653,1.62303142120611E-06,2.04344240485136E-06
